My Bus 1,Time,My Bus 1[0],My Bus 1[1],My Bus 1[2],My Bus 1[3],My Bus 1[4],My Bus 1[5],My Bus 1[6],My Bus 1[7],My Bus 1[8],My Bus 1[9],My Bus 1[10]
06E,0 s,0,1,1,1,0,1,1,0,0,0,0
28F,1.000000 us,1,1,1,1,0,0,0,1,0,1,0
3EA,2.000000 us,0,1,0,1,0,1,1,1,1,1,0
2A1,3.000000 us,1,0,0,0,0,1,0,1,0,1,0
079,3.999920 us,1,0,0,1,1,1,1,0,0,0,0
06E,4.999920 us,0,1,1,1,0,1,1,0,0,0,0
28F,5.999840 us,1,1,1,1,0,0,0,1,0,1,0
3EA,6.999760 us,0,1,0,1,0,1,1,1,1,1,0
2A1,7.999760 us,1,0,0,0,0,1,0,1,0,1,0
078,8.999680 us,0,0,0,1,1,1,1,0,0,0,0
06D,9.999600 us,1,0,1,1,0,1,1,0,0,0,0
28F,10.999600 us,1,1,1,1,0,0,0,1,0,1,0
3EA,11.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A1,12.999600 us,1,0,0,0,0,1,0,1,0,1,0
079,13.999600 us,1,0,0,1,1,1,1,0,0,0,0
06D,14.999600 us,1,0,1,1,0,1,1,0,0,0,0
28F,15.999600 us,1,1,1,1,0,0,0,1,0,1,0
3EA,16.999680 us,0,1,0,1,0,1,1,1,1,1,0
2A2,17.999760 us,0,1,0,0,0,1,0,1,0,1,0
079,18.999760 us,1,0,0,1,1,1,1,0,0,0,0
06D,19.999840 us,1,0,1,1,0,1,1,0,0,0,0
28F,20.999840 us,1,1,1,1,0,0,0,1,0,1,0
3EA,21.999920 us,0,1,0,1,0,1,1,1,1,1,0
2A1,22.999920 us,1,0,0,0,0,1,0,1,0,1,0
078,23.999920 us,0,0,0,1,1,1,1,0,0,0,0
06E,24.999920 us,0,1,1,1,0,1,1,0,0,0,0
28F,25.999920 us,1,1,1,1,0,0,0,1,0,1,0
3EA,26.999920 us,0,1,0,1,0,1,1,1,1,1,0
2A1,28.000000 us,1,0,0,0,0,1,0,1,0,1,0
079,28.999920 us,1,0,0,1,1,1,1,0,0,0,0
06E,30.000000 us,0,1,1,1,0,1,1,0,0,0,0
28F,30.999920 us,1,1,1,1,0,0,0,1,0,1,0
3EA,32.000000 us,0,1,0,1,0,1,1,1,1,1,0
2A2,33.000000 us,0,1,0,0,0,1,0,1,0,1,0
079,33.999920 us,1,0,0,1,1,1,1,0,0,0,0
06E,34.999920 us,0,1,1,1,0,1,1,0,0,0,0
28F,35.999920 us,1,1,1,1,0,0,0,1,0,1,0
3EA,36.999920 us,0,1,0,1,0,1,1,1,1,1,0
2A1,38.000000 us,1,0,0,0,0,1,0,1,0,1,0
078,39.000000 us,0,0,0,1,1,1,1,0,0,0,0
06E,40.000000 us,0,1,1,1,0,1,1,0,0,0,0
28F,41.000000 us,1,1,1,1,0,0,0,1,0,1,0
3EA,42.000000 us,0,1,0,1,0,1,1,1,1,1,0
2A1,43.000000 us,1,0,0,0,0,1,0,1,0,1,0
078,43.999920 us,0,0,0,1,1,1,1,0,0,0,0
06E,44.999840 us,0,1,1,1,0,1,1,0,0,0,0
28F,45.999760 us,1,1,1,1,0,0,0,1,0,1,0
3EA,46.999680 us,0,1,0,1,0,1,1,1,1,1,0
2A2,47.999680 us,0,1,0,0,0,1,0,1,0,1,0
079,48.999600 us,1,0,0,1,1,1,1,0,0,0,0
06D,49.999600 us,1,0,1,1,0,1,1,0,0,0,0
290,50.999680 us,0,0,0,0,1,0,0,1,0,1,0
3EA,51.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A2,52.999680 us,0,1,0,0,0,1,0,1,0,1,0
079,53.999680 us,1,0,0,1,1,1,1,0,0,0,0
06D,54.999680 us,1,0,1,1,0,1,1,0,0,0,0
28F,55.999760 us,1,1,1,1,0,0,0,1,0,1,0
3EA,56.999760 us,0,1,0,1,0,1,1,1,1,1,0
2A1,57.999760 us,1,0,0,0,0,1,0,1,0,1,0
078,58.999760 us,0,0,0,1,1,1,1,0,0,0,0
06D,59.999680 us,1,0,1,1,0,1,1,0,0,0,0
28F,60.999680 us,1,1,1,1,0,0,0,1,0,1,0
3EA,61.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A2,62.999600 us,0,1,0,0,0,1,0,1,0,1,0
079,63.999520 us,1,0,0,1,1,1,1,0,0,0,0
06E,64.999520 us,0,1,1,1,0,1,1,0,0,0,0
28F,65.999520 us,1,1,1,1,0,0,0,1,0,1,0
3EA,66.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A1,67.999680 us,1,0,0,0,0,1,0,1,0,1,0
078,68.999680 us,0,0,0,1,1,1,1,0,0,0,0
06E,69.999760 us,0,1,1,1,0,1,1,0,0,0,0
28F,70.999760 us,1,1,1,1,0,0,0,1,0,1,0
3EA,71.999840 us,0,1,0,1,0,1,1,1,1,1,0
2A2,72.999920 us,0,1,0,0,0,1,0,1,0,1,0
079,73.999920 us,1,0,0,1,1,1,1,0,0,0,0
06E,74.999920 us,0,1,1,1,0,1,1,0,0,0,0
28F,75.999840 us,1,1,1,1,0,0,0,1,0,1,0
3EA,76.999840 us,0,1,0,1,0,1,1,1,1,1,0
2A1,77.999760 us,1,0,0,0,0,1,0,1,0,1,0
079,78.999680 us,1,0,0,1,1,1,1,0,0,0,0
06E,79.999680 us,0,1,1,1,0,1,1,0,0,0,0
28F,80.999600 us,1,1,1,1,0,0,0,1,0,1,0
3EA,81.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A2,82.999600 us,0,1,0,0,0,1,0,1,0,1,0
079,83.999520 us,1,0,0,1,1,1,1,0,0,0,0
06E,84.999600 us,0,1,1,1,0,1,1,0,0,0,0
28F,85.999520 us,1,1,1,1,0,0,0,1,0,1,0
3EA,86.999520 us,0,1,0,1,0,1,1,1,1,1,0
2A1,87.999600 us,1,0,0,0,0,1,0,1,0,1,0
078,88.999600 us,0,0,0,1,1,1,1,0,0,0,0
06E,89.999600 us,0,1,1,1,0,1,1,0,0,0,0
28F,90.999600 us,1,1,1,1,0,0,0,1,0,1,0
3EA,91.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A1,92.999600 us,1,0,0,0,0,1,0,1,0,1,0
079,93.999520 us,1,0,0,1,1,1,1,0,0,0,0
06D,94.999520 us,1,0,1,1,0,1,1,0,0,0,0
28F,95.999440 us,1,1,1,1,0,0,0,1,0,1,0
3EB,96.999360 us,1,1,0,1,0,1,1,1,1,1,0
2A1,97.999360 us,1,0,0,0,0,1,0,1,0,1,0
079,98.999280 us,1,0,0,1,1,1,1,0,0,0,0
06E,99.999280 us,0,1,1,1,0,1,1,0,0,0,0
28F,100.999280 us,1,1,1,1,0,0,0,1,0,1,0
3EA,101.999360 us,0,1,0,1,0,1,1,1,1,1,0
2A1,102.999360 us,1,0,0,0,0,1,0,1,0,1,0
078,103.999440 us,0,0,0,1,1,1,1,0,0,0,0
06D,104.999520 us,1,0,1,1,0,1,1,0,0,0,0
290,105.999600 us,0,0,0,0,1,0,0,1,0,1,0
3EA,106.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A1,107.999760 us,1,0,0,0,0,1,0,1,0,1,0
078,108.999760 us,0,0,0,1,1,1,1,0,0,0,0
06E,109.999760 us,0,1,1,1,0,1,1,0,0,0,0
28F,110.999760 us,1,1,1,1,0,0,0,1,0,1,0
3EA,111.999680 us,0,1,0,1,0,1,1,1,1,1,0
2A2,112.999680 us,0,1,0,0,0,1,0,1,0,1,0
079,113.999520 us,1,0,0,1,1,1,1,0,0,0,0
06E,114.999520 us,0,1,1,1,0,1,1,0,0,0,0
290,115.999440 us,0,0,0,0,1,0,0,1,0,1,0
3EA,116.999280 us,0,1,0,1,0,1,1,1,1,1,0
2A1,117.999280 us,1,0,0,0,0,1,0,1,0,1,0
079,118.999280 us,1,0,0,1,1,1,1,0,0,0,0
06D,119.999280 us,1,0,1,1,0,1,1,0,0,0,0
28F,120.999280 us,1,1,1,1,0,0,0,1,0,1,0
3EA,121.999360 us,0,1,0,1,0,1,1,1,1,1,0
2A1,122.999360 us,1,0,0,0,0,1,0,1,0,1,0
079,123.999360 us,1,0,0,1,1,1,1,0,0,0,0
06D,124.999360 us,1,0,1,1,0,1,1,0,0,0,0
28F,125.999360 us,1,1,1,1,0,0,0,1,0,1,0
3EA,126.999360 us,0,1,0,1,0,1,1,1,1,1,0
2A1,127.999440 us,1,0,0,0,0,1,0,1,0,1,0
079,128.999360 us,1,0,0,1,1,1,1,0,0,0,0
06E,129.999440 us,0,1,1,1,0,1,1,0,0,0,0
28F,130.999440 us,1,1,1,1,0,0,0,1,0,1,0
3EA,131.999440 us,0,1,0,1,0,1,1,1,1,1,0
2A1,132.999440 us,1,0,0,0,0,1,0,1,0,1,0
079,133.999440 us,1,0,0,1,1,1,1,0,0,0,0
06D,134.999520 us,1,0,1,1,0,1,1,0,0,0,0
28F,135.999520 us,1,1,1,1,0,0,0,1,0,1,0
3EA,136.999520 us,0,1,0,1,0,1,1,1,1,1,0
2A1,137.999600 us,1,0,0,0,0,1,0,1,0,1,0
079,138.999600 us,1,0,0,1,1,1,1,0,0,0,0
06D,139.999600 us,1,0,1,1,0,1,1,0,0,0,0
28F,140.999680 us,1,1,1,1,0,0,0,1,0,1,0
3EA,141.999680 us,0,1,0,1,0,1,1,1,1,1,0
2A1,142.999680 us,1,0,0,0,0,1,0,1,0,1,0
078,143.999680 us,0,0,0,1,1,1,1,0,0,0,0
06D,144.999680 us,1,0,1,1,0,1,1,0,0,0,0
290,145.999760 us,0,0,0,0,1,0,0,1,0,1,0
3EA,146.999760 us,0,1,0,1,0,1,1,1,1,1,0
2A1,147.999760 us,1,0,0,0,0,1,0,1,0,1,0
079,148.999680 us,1,0,0,1,1,1,1,0,0,0,0
06E,149.999680 us,0,1,1,1,0,1,1,0,0,0,0
28F,150.999600 us,1,1,1,1,0,0,0,1,0,1,0
3EA,151.999600 us,0,1,0,1,0,1,1,1,1,1,0
2A1,152.999520 us,1,0,0,0,0,1,0,1,0,1,0
079,153.999440 us,1,0,0,1,1,1,1,0,0,0,0
06E,154.999360 us,0,1,1,1,0,1,1,0,0,0,0
28F,155.999280 us,1,1,1,1,0,0,0,1,0,1,0
3EA,156.999200 us,0,1,0,1,0,1,1,1,1,1,0
2A1,157.999200 us,1,0,0,0,0,1,0,1,0,1,0
078,158.999200 us,0,0,0,1,1,1,1,0,0,0,0
06E,159.999120 us,0,1,1,1,0,1,1,0,0,0,0
290,160.999200 us,0,0,0,0,1,0,0,1,0,1,0
3EA,161.999200 us,0,1,0,1,0,1,1,1,1,1,0
2A1,162.999280 us,1,0,0,0,0,1,0,1,0,1,0
078,163.999280 us,0,0,0,1,1,1,1,0,0,0,0
06E,164.999360 us,0,1,1,1,0,1,1,0,0,0,0
290,165.999440 us,0,0,0,0,1,0,0,1,0,1,0
3EA,166.999440 us,0,1,0,1,0,1,1,1,1,1,0
2A1,167.999520 us,1,0,0,0,0,1,0,1,0,1,0
079,168.999520 us,1,0,0,1,1,1,1,0,0,0,0
06E,169.999520 us,0,1,1,1,0,1,1,0,0,0,0
290,170.999520 us,0,0,0,0,1,0,0,1,0,1,0
3EA,171.999360 us,0,1,0,1,0,1,1,1,1,1,0
2A1,172.999360 us,1,0,0,0,0,1,0,1,0,1,0
078,173.999280 us,0,0,0,1,1,1,1,0,0,0,0
06E,174.999200 us,0,1,1,1,0,1,1,0,0,0,0
28F,175.999200 us,1,1,1,1,0,0,0,1,0,1,0
3EA,176.999280 us,0,1,0,1,0,1,1,1,1,1,0
2A1,177.999360 us,1,0,0,0,0,1,0,1,0,1,0
078,178.999360 us,0,0,0,1,1,1,1,0,0,0,0
06E,179.999440 us,0,1,1,1,0,1,1,0,0,0,0
28F,180.999520 us,1,1,1,1,0,0,0,1,0,1,0
3EA,181.999520 us,0,1,0,1,0,1,1,1,1,1,0
2A1,182.999600 us,1,0,0,0,0,1,0,1,0,1,0
079,183.999520 us,1,0,0,1,1,1,1,0,0,0,0
06E,184.999520 us,0,1,1,1,0,1,1,0,0,0,0
290,185.999520 us,0,0,0,0,1,0,0,1,0,1,0
3EA,186.999360 us,0,1,0,1,0,1,1,1,1,1,0
2A1,187.999360 us,1,0,0,0,0,1,0,1,0,1,0
078,188.999280 us,0,0,0,1,1,1,1,0,0,0,0
06E,189.999280 us,0,1,1,1,0,1,1,0,0,0,0
28F,190.999200 us,1,1,1,1,0,0,0,1,0,1,0
3EB,191.999200 us,1,1,0,1,0,1,1,1,1,1,0
2A1,192.999280 us,1,0,0,0,0,1,0,1,0,1,0
078,193.999200 us,0,0,0,1,1,1,1,0,0,0,0
06E,194.999200 us,0,1,1,1,0,1,1,0,0,0,0
290,195.999200 us,0,0,0,0,1,0,0,1,0,1,0
3EA,196.999120 us,0,1,0,1,0,1,1,1,1,1,0
2A1,197.999200 us,1,0,0,0,0,1,0,1,0,1,0
078,198.999200 us,0,0,0,1,1,1,1,0,0,0,0
06E,199.999200 us,0,1,1,1,0,1,1,0,0,0,0
290,200.999280 us,0,0,0,0,1,0,0,1,0,1,0
3EA,201.999200 us,0,1,0,1,0,1,1,1,1,1,0
2A1,202.999200 us,1,0,0,0,0,1,0,1,0,1,0
078,203.999200 us,0,0,0,1,1,1,1,0,0,0,0
06E,204.999200 us,0,1,1,1,0,1,1,0,0,0,0
290,205.999200 us,0,0,0,0,1,0,0,1,0,1,0
3EA,206.999120 us,0,1,0,1,0,1,1,1,1,1,0
2A1,207.999200 us,1,0,0,0,0,1,0,1,0,1,0
078,208.999200 us,0,0,0,1,1,1,1,0,0,0,0
06E,209.999200 us,0,1,1,1,0,1,1,0,0,0,0
28F,210.999200 us,1,1,1,1,0,0,0,1,0,1,0
3EA,211.999280 us,0,1,0,1,0,1,1,1,1,1,0
2A1,212.999280 us,1,0,0,0,0,1,0,1,0,1,0
078,213.999280 us,0,0,0,1,1,1,1,0,0,0,0
06E,214.999280 us,0,1,1,1,0,1,1,0,0,0,0
290,215.999360 us,0,0,0,0,1,0,0,1,0,1,0
3EA,216.999280 us,0,1,0,1,0,1,1,1,1,1,0
2A1,217.999280 us,1,0,0,0,0,1,0,1,0,1,0
078,218.999280 us,0,0,0,1,1,1,1,0,0,0,0
06E,219.999280 us,0,1,1,1,0,1,1,0,0,0,0
290,220.999360 us,0,0,0,0,1,0,0,1,0,1,0
3EA,221.999280 us,0,1,0,1,0,1,1,1,1,1,0
2A1,222.999280 us,1,0,0,0,0,1,0,1,0,1,0
078,223.999200 us,0,0,0,1,1,1,1,0,0,0,0
06E,224.999200 us,0,1,1,1,0,1,1,0,0,0,0
290,225.999200 us,0,0,0,0,1,0,0,1,0,1,0
3EA,226.999040 us,0,1,0,1,0,1,1,1,1,1,0
2A1,227.999120 us,1,0,0,0,0,1,0,1,0,1,0
079,228.999120 us,1,0,0,1,1,1,1,0,0,0,0
06E,229.999120 us,0,1,1,1,0,1,1,0,0,0,0
28F,230.999120 us,1,1,1,1,0,0,0,1,0,1,0
3EA,231.999200 us,0,1,0,1,0,1,1,1,1,1,0
2A1,232.999280 us,1,0,0,0,0,1,0,1,0,1,0
079,233.999280 us,1,0,0,1,1,1,1,0,0,0,0
06E,234.999360 us,0,1,1,1,0,1,1,0,0,0,0
28F,235.999360 us,1,1,1,1,0,0,0,1,0,1,0
3EA,236.999360 us,0,1,0,1,0,1,1,1,1,1,0
2A1,237.999360 us,1,0,0,0,0,1,0,1,0,1,0
078,238.999280 us,0,0,0,1,1,1,1,0,0,0,0
06E,239.999280 us,0,1,1,1,0,1,1,0,0,0,0
28F,240.999200 us,1,1,1,1,0,0,0,1,0,1,0
3EA,241.999200 us,0,1,0,1,0,1,1,1,1,1,0
2A1,242.999200 us,1,0,0,0,0,1,0,1,0,1,0
078,243.999120 us,0,0,0,1,1,1,1,0,0,0,0
06E,244.999120 us,0,1,1,1,0,1,1,0,0,0,0
290,245.999120 us,0,0,0,0,1,0,0,1,0,1,0
